iso3,country,rho,pci_rank_median,pci_rank_lower95,pci_rank_upper95,rpci_rank_median,rpci_rank_lower95,rpci_rank_upper95
BWA,Botswana,0.0,1.0,1.0,2.0,1.0,1.0,3.0
COD,"Congo, Dem. Rep.",0.0,16.0,15.0,16.0,16.0,15.0,16.0
GHA,Ghana,0.0,4.0,2.0,5.0,4.0,2.0,6.0
GIN,Guinea,0.0,12.0,10.0,15.0,12.0,9.0,15.0
MAR,Morocco,0.0,6.0,5.0,8.0,7.0,5.0,8.0
MLI,Mali,0.0,15.0,12.0,16.0,15.0,12.0,16.0
MOZ,Mozambique,0.0,11.0,9.0,14.0,11.0,9.0,14.0
MRT,Mauritania,0.0,10.0,9.0,12.0,10.0,9.0,13.0
NAM,Namibia,0.0,2.0,1.0,4.0,3.0,1.0,5.0
NGA,Nigeria,0.0,13.0,10.0,15.0,13.0,10.0,15.0
SEN,Senegal,0.0,3.0,2.0,5.0,3.0,1.0,4.0
SLE,Sierra Leone,0.0,10.0,9.0,12.0,10.0,9.0,13.0
TZA,Tanzania,0.0,7.0,5.0,8.0,6.0,5.0,8.0
ZAF,South Africa,0.0,5.0,3.0,6.0,5.0,3.0,7.0
ZMB,Zambia,0.0,8.0,6.0,8.0,8.0,6.0,9.0
ZWE,Zimbabwe,0.0,14.0,11.0,15.0,14.0,11.0,15.0
BWA,Botswana,0.25,1.0,1.0,2.0,1.0,1.0,3.0
COD,"Congo, Dem. Rep.",0.25,16.0,15.0,16.0,16.0,15.0,16.0
GHA,Ghana,0.25,4.0,2.0,5.0,4.0,2.0,6.0
GIN,Guinea,0.25,12.0,10.0,15.0,12.0,9.0,15.0
MAR,Morocco,0.25,6.0,5.0,8.0,7.0,5.0,8.0
MLI,Mali,0.25,15.0,12.0,16.0,15.0,11.0,16.0
MOZ,Mozambique,0.25,11.0,9.0,14.0,11.0,9.0,14.0
MRT,Mauritania,0.25,10.0,9.0,13.0,10.0,9.0,13.0
NAM,Namibia,0.25,2.0,1.0,4.0,3.0,1.0,5.0
NGA,Nigeria,0.25,13.0,10.0,15.0,13.0,9.0,15.0
SEN,Senegal,0.25,3.0,2.0,5.0,3.0,1.0,5.0
SLE,Sierra Leone,0.25,10.0,9.0,13.0,10.0,9.0,13.0
TZA,Tanzania,0.25,7.0,5.0,8.0,6.0,5.0,8.0
ZAF,South Africa,0.25,5.0,3.0,7.0,5.0,3.0,7.0
ZMB,Zambia,0.25,8.0,6.0,8.0,8.0,6.0,9.0
ZWE,Zimbabwe,0.25,14.0,11.0,15.0,14.0,10.0,15.0
BWA,Botswana,0.5,1.0,1.0,3.0,1.0,1.0,3.0
COD,"Congo, Dem. Rep.",0.5,16.0,15.0,16.0,16.0,15.0,16.0
GHA,Ghana,0.5,4.0,2.0,6.0,4.0,2.0,6.0
GIN,Guinea,0.5,12.0,9.0,15.0,12.0,9.0,15.0
MAR,Morocco,0.5,6.0,5.0,8.0,7.0,5.0,8.0
MLI,Mali,0.5,15.0,11.0,16.0,15.0,11.0,16.0
MOZ,Mozambique,0.5,11.0,9.0,14.0,11.0,9.0,14.0
MRT,Mauritania,0.5,10.0,9.0,13.0,10.0,8.0,14.0
NAM,Namibia,0.5,2.0,1.0,5.0,3.0,1.0,5.0
NGA,Nigeria,0.5,13.0,9.0,15.0,13.0,9.0,15.0
SEN,Senegal,0.5,3.0,1.0,5.0,3.0,1.0,5.0
SLE,Sierra Leone,0.5,10.0,8.0,13.0,10.0,9.0,14.0
TZA,Tanzania,0.5,7.0,5.0,8.0,6.0,4.0,8.0
ZAF,South Africa,0.5,5.0,2.0,7.0,5.0,2.0,8.0
ZMB,Zambia,0.5,8.0,6.0,9.0,8.0,6.0,9.0
ZWE,Zimbabwe,0.5,14.0,10.0,15.0,14.0,10.0,15.0
BWA,Botswana,0.75,1.0,1.0,3.0,1.0,1.0,3.0
COD,"Congo, Dem. Rep.",0.75,16.0,14.0,16.0,16.0,14.0,16.0
GHA,Ghana,0.75,4.0,2.0,6.0,4.0,2.0,6.0
GIN,Guinea,0.75,12.0,9.0,15.0,12.0,9.0,15.0
MAR,Morocco,0.75,6.0,4.0,8.0,7.0,4.0,8.0
MLI,Mali,0.75,15.0,11.0,16.0,15.0,11.0,16.0
MOZ,Mozambique,0.75,11.0,9.0,15.0,11.0,8.0,14.0
MRT,Mauritania,0.75,10.0,8.0,14.0,10.0,8.0,14.0
NAM,Namibia,0.75,2.0,1.0,5.0,3.0,1.0,5.0
NGA,Nigeria,0.75,13.0,9.0,15.0,13.0,9.0,15.0
SEN,Senegal,0.75,3.0,1.0,5.0,3.0,1.0,5.0
SLE,Sierra Leone,0.75,10.0,8.0,13.0,10.0,8.0,14.0
TZA,Tanzania,0.75,7.0,5.0,8.0,6.0,4.0,8.0
ZAF,South Africa,0.75,5.0,2.0,8.0,5.0,2.0,8.0
ZMB,Zambia,0.75,8.0,5.0,9.0,8.0,5.0,9.0
ZWE,Zimbabwe,0.75,14.0,10.0,15.0,14.0,10.0,15.024999999999636
