iso3,rho,pci_rank_span_rho0,pci_rank_span_correlated,pci_rank_span_change,rpci_rank_span_rho0,rpci_rank_span_correlated,rpci_rank_span_change,material_change
BWA,0.25,1.0,1.0,0.0,2.0,2.0,0.0,False
COD,0.25,1.0,1.0,0.0,1.0,1.0,0.0,False
GHA,0.25,3.0,3.0,0.0,4.0,4.0,0.0,False
GIN,0.25,5.0,5.0,0.0,6.0,6.0,0.0,False
MAR,0.25,3.0,3.0,0.0,3.0,3.0,0.0,False
MLI,0.25,4.0,4.0,0.0,4.0,5.0,1.0,False
MOZ,0.25,5.0,5.0,0.0,5.0,5.0,0.0,False
MRT,0.25,3.0,4.0,1.0,4.0,4.0,0.0,False
NAM,0.25,3.0,3.0,0.0,4.0,4.0,0.0,False
NGA,0.25,5.0,5.0,0.0,5.0,6.0,1.0,False
SEN,0.25,3.0,3.0,0.0,3.0,4.0,1.0,False
SLE,0.25,3.0,4.0,1.0,4.0,4.0,0.0,False
TZA,0.25,3.0,3.0,0.0,3.0,3.0,0.0,False
ZAF,0.25,3.0,4.0,1.0,4.0,4.0,0.0,False
ZMB,0.25,2.0,2.0,0.0,3.0,3.0,0.0,False
ZWE,0.25,4.0,4.0,0.0,4.0,5.0,1.0,False
BWA,0.5,1.0,2.0,1.0,2.0,2.0,0.0,False
COD,0.5,1.0,1.0,0.0,1.0,1.0,0.0,False
GHA,0.5,3.0,4.0,1.0,4.0,4.0,0.0,False
GIN,0.5,5.0,6.0,1.0,6.0,6.0,0.0,False
MAR,0.5,3.0,3.0,0.0,3.0,3.0,0.0,False
MLI,0.5,4.0,5.0,1.0,4.0,5.0,1.0,False
MOZ,0.5,5.0,5.0,0.0,5.0,5.0,0.0,False
MRT,0.5,3.0,4.0,1.0,4.0,6.0,2.0,True
NAM,0.5,3.0,4.0,1.0,4.0,4.0,0.0,False
NGA,0.5,5.0,6.0,1.0,5.0,6.0,1.0,False
SEN,0.5,3.0,4.0,1.0,3.0,4.0,1.0,False
SLE,0.5,3.0,5.0,2.0,4.0,5.0,1.0,True
TZA,0.5,3.0,3.0,0.0,3.0,4.0,1.0,False
ZAF,0.5,3.0,5.0,2.0,4.0,6.0,2.0,True
ZMB,0.5,2.0,3.0,1.0,3.0,3.0,0.0,False
ZWE,0.5,4.0,5.0,1.0,4.0,5.0,1.0,False
BWA,0.75,1.0,2.0,1.0,2.0,2.0,0.0,False
COD,0.75,1.0,2.0,1.0,1.0,2.0,1.0,False
GHA,0.75,3.0,4.0,1.0,4.0,4.0,0.0,False
GIN,0.75,5.0,6.0,1.0,6.0,6.0,0.0,False
MAR,0.75,3.0,4.0,1.0,3.0,4.0,1.0,False
MLI,0.75,4.0,5.0,1.0,4.0,5.0,1.0,False
MOZ,0.75,5.0,6.0,1.0,5.0,6.0,1.0,False
MRT,0.75,3.0,6.0,3.0,4.0,6.0,2.0,True
NAM,0.75,3.0,4.0,1.0,4.0,4.0,0.0,False
NGA,0.75,5.0,6.0,1.0,5.0,6.0,1.0,False
SEN,0.75,3.0,4.0,1.0,3.0,4.0,1.0,False
SLE,0.75,3.0,5.0,2.0,4.0,6.0,2.0,True
TZA,0.75,3.0,3.0,0.0,3.0,4.0,1.0,False
ZAF,0.75,3.0,6.0,3.0,4.0,6.0,2.0,True
ZMB,0.75,2.0,4.0,2.0,3.0,4.0,1.0,True
ZWE,0.75,4.0,5.0,1.0,4.0,5.024999999999636,1.0249999999996362,False
