country,iso3,year,scheme,weighted_mean,pci,rpci,pci_rank,rpci_rank
Botswana,BWA,2024,uniform_primary,0.6485984618333334,0.564583206834401,0.53403505716391,1,1
"Congo, Dem. Rep.",COD,2024,uniform_primary,0.27411205266666666,0.20198951628174855,0.17304355699991633,16,16
Ghana,GHA,2024,uniform_primary,0.5571535120000001,0.4877806676408468,0.45398074849775133,4,4
Guinea,GIN,2024,uniform_primary,0.3666822695,0.29414225867494836,0.2624701343233849,12,12
Morocco,MAR,2024,uniform_primary,0.4994944215,0.42794369343040756,0.3944419519751744,6,7
Mali,MLI,2024,uniform_primary,0.32351248899999996,0.2540266733230246,0.22340192725218225,15,15
Mozambique,MOZ,2024,uniform_primary,0.3635242005,0.31328736316296957,0.2909093696220394,11,11
Mauritania,MRT,2024,uniform_primary,0.4126084315,0.33092581275758476,0.2963172378875438,10,9
Namibia,NAM,2024,uniform_primary,0.6020977935,0.5212402345528825,0.48321946332823695,2,3
Nigeria,NGA,2024,uniform_primary,0.3623196196666667,0.2905652923174743,0.2586857375016803,13,13
Senegal,SEN,2024,uniform_primary,0.5494269603333334,0.5094690271353777,0.48888102084529605,3,2
Sierra Leone,SLE,2024,uniform_primary,0.42157745199999996,0.3329391585317203,0.29445860557125586,9,10
Tanzania,TZA,2024,uniform_primary,0.47799962716666666,0.42365040699502576,0.40029924678095213,7,6
South Africa,ZAF,2024,uniform_primary,0.5415590163333334,0.4658048289894366,0.42998321997106026,5,5
Zambia,ZMB,2024,uniform_primary,0.4816784268333334,0.3997821392246472,0.3640546986309639,8,8
Zimbabwe,ZWE,2024,uniform_primary,0.3506415411666667,0.27430576234077236,0.243067753641624,14,14
Botswana,BWA,2024,pca_sensitivity,0.6461571105721832,0.564414225232639,0.535138568310018,1,1
"Congo, Dem. Rep.",COD,2024,pca_sensitivity,0.273185711344472,0.20079843812579343,0.1717906208039967,16,16
Ghana,GHA,2024,pca_sensitivity,0.555301305959593,0.4862625889413731,0.4526409374423951,4,4
Guinea,GIN,2024,pca_sensitivity,0.36481599791511926,0.29266696031078543,0.26120340416444354,12,12
Morocco,MAR,2024,pca_sensitivity,0.498157674179541,0.42659284199740816,0.3930906344859603,6,7
Mali,MLI,2024,pca_sensitivity,0.32470985806455976,0.255545859210716,0.2249883289988317,15,15
Mozambique,MOZ,2024,pca_sensitivity,0.3629866040344589,0.3121668325817267,0.28952132657838847,11,11
Mauritania,MRT,2024,pca_sensitivity,0.4103376394501068,0.32969259976813886,0.29556203567131634,10,9
Namibia,NAM,2024,pca_sensitivity,0.5999263246197573,0.5202854314874317,0.48286077626794544,2,3
Nigeria,NGA,2024,pca_sensitivity,0.3622762381903648,0.2902309543858584,0.25821587950365765,13,13
Senegal,SEN,2024,pca_sensitivity,0.5481353942438654,0.508698928609078,0.4884113604906698,3,2
Sierra Leone,SLE,2024,pca_sensitivity,0.4190900730642414,0.3319185629236445,0.2940885359722378,9,10
Tanzania,TZA,2024,pca_sensitivity,0.4764764752579387,0.4233207035590349,0.4005514389191844,7,6
South Africa,ZAF,2024,pca_sensitivity,0.5406011214818247,0.4648344949838463,0.4290002244293575,5,5
Zambia,ZMB,2024,pca_sensitivity,0.4792407744701588,0.3988003574817523,0.3637690346079208,8,8
Zimbabwe,ZWE,2024,pca_sensitivity,0.3485394441291223,0.27294685528441337,0.24207207607565873,14,14
Botswana,BWA,2024,entropy_sensitivity,0.6479230441844368,0.5616491722758098,0.5300965850108533,1,1
"Congo, Dem. Rep.",COD,2024,entropy_sensitivity,0.25132586603360946,0.17792756775808907,0.14965870379812687,16,16
Ghana,GHA,2024,entropy_sensitivity,0.5431185578351128,0.46619805779855245,0.4291838070719055,4,4
Guinea,GIN,2024,entropy_sensitivity,0.3519382831032919,0.27073813352499554,0.23618536394194686,12,13
Morocco,MAR,2024,entropy_sensitivity,0.4899959470358868,0.4098685506625327,0.3731477458356995,7,7
Mali,MLI,2024,entropy_sensitivity,0.30616118139527393,0.24214659194509577,0.21475160832067552,15,15
Mozambique,MOZ,2024,entropy_sensitivity,0.3488635764698254,0.2941669689365476,0.2698355415255853,11,11
Mauritania,MRT,2024,entropy_sensitivity,0.39898366879491287,0.30857015316535524,0.2707061751760332,10,10
Namibia,NAM,2024,entropy_sensitivity,0.5903110544069291,0.5032901845878571,0.4635099072576213,3,3
Nigeria,NGA,2024,entropy_sensitivity,0.3389899822075409,0.26787879553026345,0.23701510870898046,13,12
Senegal,SEN,2024,entropy_sensitivity,0.5473434523322851,0.5057520364109808,0.4845270571781099,2,2
Sierra Leone,SLE,2024,entropy_sensitivity,0.40945937027290674,0.3160832235059837,0.27788034956029156,9,9
Tanzania,TZA,2024,entropy_sensitivity,0.47399570304158395,0.41616594574171367,0.39101729394858104,6,6
South Africa,ZAF,2024,entropy_sensitivity,0.5207224628118842,0.4460260971535391,0.41128323847452175,5,5
Zambia,ZMB,2024,entropy_sensitivity,0.469786832167593,0.38129423321267736,0.3436825341790489,8,8
Zimbabwe,ZWE,2024,entropy_sensitivity,0.33709483469258467,0.2515569781112457,0.2169505452437452,14,14
Botswana,BWA,2024,fraser_bivariate_sensitivity,0.6489198888282852,0.5644160868606279,0.533593675558663,1,1
"Congo, Dem. Rep.",COD,2024,fraser_bivariate_sensitivity,0.2717559284325401,0.2001622714728933,0.17140744234520097,16,16
Ghana,GHA,2024,fraser_bivariate_sensitivity,0.5555973993904537,0.48586250889957866,0.4519273742445345,4,4
Guinea,GIN,2024,fraser_bivariate_sensitivity,0.366650342068928,0.29327330154836007,0.261229085698306,12,12
Morocco,MAR,2024,fraser_bivariate_sensitivity,0.5008394903507309,0.42909020396495523,0.39572676946800434,6,7
Mali,MLI,2024,fraser_bivariate_sensitivity,0.3232356076462759,0.25307369770283106,0.22228895142701852,15,15
Mozambique,MOZ,2024,fraser_bivariate_sensitivity,0.36251087071496796,0.3117770698691362,0.28917418456477106,11,11
Mauritania,MRT,2024,fraser_bivariate_sensitivity,0.41245089794663603,0.32993439919512235,0.2949475886135392,10,9
Namibia,NAM,2024,fraser_bivariate_sensitivity,0.6012090802510552,0.5197003652201678,0.4814279701333658,2,3
Nigeria,NGA,2024,fraser_bivariate_sensitivity,0.36023391069295907,0.2887953500222118,0.25700321122465447,13,13
Senegal,SEN,2024,fraser_bivariate_sensitivity,0.548438730891096,0.5082437507842171,0.48761129897788846,3,2
Sierra Leone,SLE,2024,fraser_bivariate_sensitivity,0.4196366404073196,0.33079929915783285,0.2925284155694303,9,10
Tanzania,TZA,2024,fraser_bivariate_sensitivity,0.4784082866347624,0.4237306175977557,0.4000825360518482,7,6
South Africa,ZAF,2024,fraser_bivariate_sensitivity,0.5377879975715234,0.46463985913400563,0.4300567554712616,5,5
Zambia,ZMB,2024,fraser_bivariate_sensitivity,0.480825116219202,0.39825521338760733,0.36233312454173944,8,8
Zimbabwe,ZWE,2024,fraser_bivariate_sensitivity,0.35040104079198386,0.27322381719448724,0.24162627491156297,14,14
