iso3,pci_rank_median,pci_rank_lower95,pci_rank_upper95,rpci_rank_median,rpci_rank_lower95,rpci_rank_upper95
BWA,1.0,1.0,1.0,1.0,1.0,1.0
COD,16.0,16.0,16.0,16.0,16.0,16.0
GHA,4.0,4.0,4.0,4.0,4.0,4.0
GIN,12.0,12.0,13.0,12.0,12.0,13.0
MAR,6.0,6.0,7.0,7.0,6.0,7.0
MLI,15.0,14.0,15.0,15.0,14.0,15.0
MOZ,11.0,10.0,11.0,11.0,9.0,11.0
MRT,10.0,9.0,10.0,9.0,9.0,10.0
NAM,2.0,2.0,3.0,3.0,2.0,3.0
NGA,13.0,12.0,13.0,13.0,12.0,13.0
SEN,3.0,2.0,3.0,2.0,2.0,3.0
SLE,9.0,9.0,11.0,10.0,9.0,11.0
TZA,7.0,6.0,7.0,6.0,6.0,7.0
ZAF,5.0,5.0,5.0,5.0,5.0,5.0
ZMB,8.0,8.0,8.0,8.0,8.0,8.0
ZWE,14.0,14.0,15.0,14.0,14.0,15.0
