iso3,year,ppi_score,source_report
BWA,2019,83.48,Fraser 2023 Table 2
BWA,2020,91.20,Fraser 2024 Table 2
BWA,2021,74.66,Fraser 2024 Table 2
BWA,2022,97.79,Fraser 2024 Table 2
BWA,2023,92.17,Fraser 2024 Table 2
BWA,2024,84.35,Fraser 2024 Table 2
COD,2019,38.00,Fraser 2023 Table 2
COD,2020,53.64,Fraser 2024 Table 2
COD,2021,29.18,Fraser 2024 Table 2
COD,2022,21.30,Fraser 2024 Table 2
COD,2023,24.93,Fraser 2024 Table 2
COD,2024,12.97,Fraser 2024 Table 2
GHA,2020,74.62,Fraser 2024 Table 2
GHA,2021,64.59,Fraser 2024 Table 2
GHA,2022,49.43,Fraser 2024 Table 2
GHA,2023,45.88,Fraser 2024 Table 2
GHA,2024,54.95,Fraser 2024 Table 2
GIN,2019,41.60,Fraser 2023 Table 2
GIN,2020,74.81,Fraser 2024 Table 2
GIN,2021,62.29,Fraser 2024 Table 2
GIN,2022,10.404,Fraser 2024 Table 2
GIN,2023,33.84,Fraser 2024 Table 2
GIN,2024,16.04,Fraser 2024 Table 2
MLI,2019,45.27,Fraser 2023 Table 2
MLI,2020,78.18,Fraser 2024 Table 2
MLI,2021,49.30,Fraser 2024 Table 2
MLI,2022,38.55,Fraser 2024 Table 2
MLI,2023,33.34,Fraser 2024 Table 2
MLI,2024,14.94,Fraser 2024 Table 2
MRT,2020,62.03,Fraser 2024 Table 2
MRT,2021,63.20,Fraser 2024 Table 2
MRT,2023,61.17,Fraser 2024 Table 2
MRT,2024,38.04,Fraser 2024 Table 2
MAR,2021,98.06,Fraser 2024 Table 2
MAR,2022,80.32,Fraser 2024 Table 2
MAR,2023,86.53,Fraser 2024 Table 2
MAR,2024,70.84,Fraser 2024 Table 2
MOZ,2020,61.24,Fraser 2024 Table 2
MOZ,2022,12.40,Fraser 2024 Table 2
MOZ,2023,21.42,Fraser 2024 Table 2
MOZ,2024,11.26,Fraser 2024 Table 2
NAM,2019,87.22,Fraser 2023 Table 2
NAM,2020,74.30,Fraser 2024 Table 2
NAM,2021,75.24,Fraser 2024 Table 2
NAM,2022,69.35,Fraser 2024 Table 2
NAM,2023,68.00,Fraser 2024 Table 2
NAM,2024,78.96,Fraser 2024 Table 2
SEN,2023,52.18,Fraser 2024 Table 2
SEN,2024,63.70,Fraser 2024 Table 2
ZAF,2019,59.71,Fraser 2023 Table 2
ZAF,2020,60.81,Fraser 2024 Table 2
ZAF,2021,49.71,Fraser 2024 Table 2
ZAF,2022,29.65,Fraser 2024 Table 2
ZAF,2023,40.59,Fraser 2024 Table 2
ZAF,2024,19.47,Fraser 2024 Table 2
TZA,2019,28.47,Fraser 2023 Table 2
TZA,2020,48.94,Fraser 2024 Table 2
TZA,2021,51.91,Fraser 2024 Table 2
TZA,2022,43.20,Fraser 2024 Table 2
TZA,2023,45.65,Fraser 2024 Table 2
TZA,2024,55.41,Fraser 2024 Table 2
ZMB,2022,39.83,Fraser 2024 Table 2
ZMB,2023,57.46,Fraser 2024 Table 2
ZMB,2024,62.56,Fraser 2024 Table 2
ZWE,2019,26.31,Fraser 2023 Table 2
ZWE,2020,39.42,Fraser 2024 Table 2
ZWE,2021,28.88,Fraser 2024 Table 2
ZWE,2022,0.00,Fraser 2024 Table 2
ZWE,2023,23.58,Fraser 2024 Table 2
ZWE,2024,18.61,Fraser 2024 Table 2
