rank,country,iso3,governance_mean,pci,pci_measurement_95_ci,pci_rank_measurement_95_interval,rpci,rpci_rank,rpci_measurement_95_ci
1,Botswana,BWA,0.6485984618333333,0.5645832068344009,0.5246-0.5963,1-2,0.5340350571639099,1,0.4816-0.5686
2,Namibia,NAM,0.6020977935,0.5212402345528825,0.4794-0.5555,1-4,0.48321946332823695,3,0.4315-0.5252
3,Senegal,SEN,0.5494269603333334,0.5094690271353777,0.4709-0.5334,2-4,0.48888102084529605,2,0.4393-0.5177
4,Ghana,GHA,0.557153512,0.48778066764084677,0.4502-0.5165,2-5,0.4539807484977513,4,0.4076-0.4902
5,South Africa,ZAF,0.5415590163333333,0.46580482898943654,0.4224-0.4997,3-6,0.42998321997106026,5,0.3783-0.4700
6,Morocco,MAR,0.49949442149999995,0.4279436934304075,0.3883-0.4567,5-8,0.3944419519751744,7,0.3469-0.4288
7,Tanzania,TZA,0.4779996271666666,0.4236504069950257,0.3846-0.4510,5-8,0.4002992467809521,6,0.3504-0.4329
8,Zambia,ZMB,0.48167842683333334,0.39978213922464717,0.3610-0.4319,6-8,0.3640546986309639,8,0.3164-0.4032
9,Sierra Leone,SLE,0.42157745199999996,0.3329391585317203,0.2940-0.3656,9-12,0.29445860557125586,10,0.2490-0.3343
10,Mauritania,MRT,0.4126084315,0.33092581275758476,0.2891-0.3648,9-12,0.2963172378875438,9,0.2470-0.3369
11,Mozambique,MOZ,0.36352420049999995,0.31328736316296946,0.2715-0.3428,9-14,0.2909093696220393,11,0.2410-0.3241
12,Guinea,GIN,0.3666822695,0.29414225867494836,0.2555-0.3249,10-15,0.2624701343233849,12,0.2177-0.2993
13,Nigeria,NGA,0.36231961966666665,0.29056529231747424,0.2482-0.3241,10-15,0.2586857375016802,13,0.2101-0.2971
14,Zimbabwe,ZWE,0.35064154116666674,0.2743057623407724,0.2354-0.3052,11-15,0.24306775364162406,14,0.1977-0.2797
15,Mali,MLI,0.3235124889999999,0.25402667332302453,0.2079-0.2890,12-16,0.22340192725218222,15,0.1718-0.2644
16,"Congo, Dem. Rep.",COD,0.27411205266666666,0.20198951628174858,0.1602-0.2348,15-16,0.17304355699991636,16,0.1273-0.2099
